,Назва,Правовий статус,ЄДРПОУ,Кількість осіб,Класи наслідків,Посилання
89,"Товариство з обмеженою відповідальністю ""ЦЕНТРАЛЬНА БУДІВЕЛЬНА ЕКСПЕРТИЗА""",Юридична особа,43990770,4,['СС1'],/organizations_detail/2623340604129543755?org_type=1
90,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БУДЕКСП ЮКРЕЙН""",Юридична особа,43727704,17,[],/organizations_detail/3484010939039090242?org_type=1
91,"ТОВ ""Будпроектекспертиза""",Юридична особа,41054749,19,"['СС1', 'СС2', 'СС3']",/organizations_detail/2268956508190410089?org_type=1
92,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""НАУКОВО-ТЕХНІЧНИЙ ЦЕНТР БУДІВЕЛЬНИХ ЕКСПЕРТИЗ""",Юридична особа,44862605,9,"['СС1', 'СС2']",/organizations_detail/3445218336210683166?org_type=1
93,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""УКРАЇНСЬКА АРХІТЕКТУРНО-ПРОЕКТНА КОМПАНІЯ""",Юридична особа,42636021,12,[],/organizations_detail/2632103795496060601?org_type=1
94,"ТОВ ""ПЕРШИЙ ЦЕНТР БУДІВЕЛЬНИХ ЕКСПЕРТИЗ""",Юридична особа,40176460,10,"['СС1', 'СС2', 'СС3']",/organizations_detail/2466073995875714725?org_type=1
95,"ТОВ ""Інститут експертно-технічних рішень у будівництві""",Юридична особа,41230758,17,"['СС1', 'СС2', 'СС3']",/organizations_detail/2268956508190410108?org_type=1
96,"НАЦІОНАЛЬНИЙ НАУКОВИЙ ЦЕНТР ""ІНСТИТУТ СУДОВИХ ЕКСПЕРТИЗ ІМ. ЗАСЛ. ПРОФ. М.С. БОКАРІУСА"" МІНІСТЕРСТВА ЮСТИЦІЇ УКРАЇНИ",Юридична особа,02883133,6,[],/organizations_detail/3425603237607114331?org_type=1
97,"Акціонерне товариство ""УКРАЇНСЬКА ЗАЛІЗНИЦЯ""",Юридична особа,40075815,34,[],/organizations_detail/2283351188642465313?org_type=1
98,"ДП ""Західний ЕТЦ """,Юридична особа,20774790,17,"['СС1', 'СС2', 'СС3']",/organizations_detail/2268956508182021469?org_type=1
99,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ІНВЕСТ ЕКСПЕРТ ГРУП""",Юридична особа,45070984,26,[],/organizations_detail/3236735439813477938?org_type=1
100,"ТОВ ""Агенція незалежного  інспектування ""Експерт""",Юридична особа,39796515,22,"['СС1', 'СС2', 'СС3']",/organizations_detail/2268956508198798725?org_type=1
101,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ІНЖЕНЕРНО-БУДІВЕЛЬНЕ БЮРО""",Юридична особа,43484400,14,"['СС1', 'СС2', 'СС3']",/organizations_detail/2732849584337323171?org_type=1
102,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""НАУКОВО-ДОСЛІДНА ВИРОБНИЧО-ТЕХНІЧНА АГЕНЦІЯ ""СТРАТЕГІЯ РЕГІОНАЛЬНОГО РОЗВИТКУ""",Юридична особа,35829997,17,"['СС1', 'СС2', 'СС3']",/organizations_detail/2861289852891039510?org_type=1
