registration_number_edessb,reason
EX01:8528-4266-9749-2457,"Зміна стадій проектування: first_design = 2, last_design = 2; first_stage = проект (П), last_stage = проект (П)"
EX01:8586-5961-6391-3513,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = робоча документація (Р)"
EX01:8768-6264-2382-5952,"Зміна стадій проектування: first_design = 2, last_design = 2; first_stage = робочий проект (РП), last_stage = робочий проект (РП)"
EX01:8835-6628-4905-0226,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = проект (П), last_stage = ескізний проект (ЕП)"
EX01:8840-5817-7097-0655,"Зміна стадій проектування: first_design = 2, last_design = 1; first_stage = проект (П), last_stage = робочий проект (РП)"
EX01:8862-9152-4242-8340,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = проект (П), last_stage = проект (П)"
EX01:8913-5195-1107-8026,"Зміна стадій проектування: first_design = 1, last_design = 2; first_stage = робочий проект (РП), last_stage = проект (П)"
EX01:8937-1722-5957-1139,"Зміна стадій проектування: first_design = 3, last_design = 2; first_stage = проект (П), last_stage = проект (П)"
EX01:9229-0240-8233-1378,"Зміна стадій проектування: first_design = 2, last_design = 2; first_stage = робочий проект (РП), last_stage = робочий проект (РП)"
EX01:9338-3336-9688-6417,"Зміна стадій проектування: first_design = 3, last_design = 2; first_stage = проект (П), last_stage = проект (П)"
EX01:9397-4328-7921-9857,"Зміна стадій проектування: first_design = 3, last_design = 3; first_stage = проект (П), last_stage = проект (П)"
EX01:9632-4861-1957-2864,"Зміна стадій проектування: first_design = 2, last_design = 2; first_stage = проект (П), last_stage = проект (П)"
EX01:9637-5194-8930-4565,"Зміна стадій проектування: first_design = 3, last_design = 3; first_stage = проект (П), last_stage = проект (П)"
EX01:9710-5650-7374-9755,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = робоча документація (Р)"
EX01:9739-7115-3813-6067,"Зміна стадій проектування: first_design = 1, last_design = 2; first_stage = робочий проект (РП), last_stage = проект (П)"
EX01:9767-8034-3915-4761,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = робоча документація (Р)"
EX01:9962-3009-5857-3824,"Зміна стадій проектування: first_design = 1, last_design = 2; first_stage = робочий проект (РП), last_stage = проект (П)"
EX01:9991-4955-1583-4024,"Зміна стадій проектування: first_design = 2, last_design = 2; first_stage = проект (П), last_stage = проект (П)"
